id_text,designation,parsed_sender,parsed_sender_kind,parsed_addressee,parsed_addressee_kind,cat_sender,cat_recipient,sender_agree,addressee_agree
P271194,EA 302,Šubandu,name,PHARAOH,pharaoh,"Šub-Andu, mayor of Ashkelon",[an Egyptian pharaoh],True,True
P270923,EA 303,Šubandu,name,PHARAOH,pharaoh,"Šub-Andu, mayor of Ashkelon",[an Egyptian pharaoh],True,True
P270924,EA 304,Šubandu,name,PHARAOH,pharaoh,"Šub-Andu, mayor of Ashkelon",[an Egyptian pharaoh],True,True
P271007,EA 305,Šubandu,name,PHARAOH,pharaoh,"Šub-Andu, mayor of Ashkelon",[an Egyptian pharaoh],True,True
P270925,EA 306,Šubandu,name,PHARAOH,pharaoh,"Šub-Andu, mayor of Ashkelon",[an Egyptian pharaoh],True,True
P271042,EA 307,,none,,none,[missing],[an Egyptian pharaoh],,
P271058,EA 308,,none,,none,[missing],[an Egyptian pharaoh],,
P271168,EA 309,,none,PHARAOH,pharaoh,[missing],[an Egyptian pharaoh],,True
P271139,EA 310,,none,,none,[missing],[missing],,
P271054,EA 311,,none,PHARAOH,pharaoh,[missing],[an Egyptian pharaoh],,True
P271175,EA 312,,none,PHARAOH,pharaoh,[missing],[missing],,
P271009,EA 313,,none,,none,[missing],[missing],,
P271019,EA 314,Pu-Baʿlu,name,PHARAOH,pharaoh,"Pu-Baʿlu, mayor of Yurṣa",[an Egyptian pharaoh],True,True
P270941,EA 315,Pu-Baʿlu,name,PHARAOH,pharaoh,"Pu-Baʿlu, mayor of Yurṣa",[an Egyptian pharaoh],True,True
P270940,EA 316,Pu-Baʿlu,name,PHARAOH,pharaoh,"Pu-Baʿlu, mayor of Yurṣa",[an Egyptian pharaoh],True,True
P271119,EA 317,,none,Dagan-takala,name,"Dagan-takala, a mayor in Syria",[an Egyptian pharaoh],,False
P270959,EA 318,,none,Dagan-takala,name,"Dagan-takala, a mayor in Syria",[an Egyptian pharaoh],,False
P271157,EA 319,Ṣur-ʾAšar,name,PHARAOH,pharaoh,"Ṣur-Ašar, ruler of Ahtiašna(?)",[an Egyptian pharaoh],True,True
P271005,EA 320,Yidya,name,PHARAOH,pharaoh,"Yidyia, ruler of Ashkelon",[an Egyptian pharaoh],True,True
P271114,EA 321,Yidya,name,PHARAOH,pharaoh,"Yidyia, ruler of Ashkelon",[an Egyptian pharaoh],True,True
P271004,EA 322,Yidya,name,PHARAOH,pharaoh,"Yidyia, ruler of Ashkelon",[an Egyptian pharaoh],True,True
P270938,EA 323,Yidya,name,PHARAOH,pharaoh,"Yidyia, ruler of Ashkelon",[an Egyptian pharaoh],True,True
P270939,EA 324,Yidya,name,PHARAOH,pharaoh,"Yidyia, ruler of Ashkelon",[an Egyptian pharaoh],True,True
P270937,EA 325,Yidya,name,PHARAOH,pharaoh,"Yidyia, ruler of Ashkelon",[an Egyptian pharaoh],True,True
P271115,EA 326,Yidya,name,PHARAOH,pharaoh,"Yidyia, ruler of Ashkelon",[an Egyptian pharaoh],True,True
P271003,EA 328,Yabni-ʾili,name,PHARAOH,pharaoh,"Yabni-Ilu, ruler of Lakiša",[an Egyptian pharaoh],True,True
P271116,EA 329,Zimri-Haddu,name,PHARAOH,pharaoh,"Zimreddi, ruler of Lakiša",[an Egyptian pharaoh],True,True
P270950,EA 330,Ṯipṭi-BaʿluORHAddu,name,PHARAOH,pharaoh,"Šipṭi-Baʿla, ruler of Lakiša",[an Egyptian pharaoh],True,True
P271006,EA 331,Ṯipṭi-BaʿluORHAddu,name,PHARAOH,pharaoh,"Šipṭi-Baʿla, ruler of Lakiša",[an Egyptian pharaoh],True,True
P271172,EA 332,Ṯipṭi-BaʿluORHAddu,name,PHARAOH,pharaoh,"Šipṭi-Baʿla, ruler of Lakiša",[an Egyptian pharaoh],True,True
P271023,EA 333,Payapu,name,,none,"Paapu, an Egyptian official",[an Egyptian pharaoh],True,
P271065,EA 334,x-ya,name,PHARAOH,pharaoh,the ruler of Zuhra(?),[an Egyptian pharaoh],,True
P271068,EA 335,ʿAbdi-ʿAštarti,name,PHARAOH,pharaoh,"ʿAbdi-Aštarti, mayor of Gimtu",[an Egyptian pharaoh],True,True
P271146,EA 336,Hizziri,name,PHARAOH,pharaoh,"Hiziru, mayor of Zuhra",[an Egyptian pharaoh],True,True
P271122,EA 337,Hizziri,name,PHARAOH,pharaoh,"Hiziru, mayor of Zuhra",[an Egyptian pharaoh],True,True
P271173,EA 338,Zi-x,name,PHARAOH,pharaoh,[missing],[missing],,
P271177,EA 339,,none,PHARAOH,pharaoh,[missing],[missing],,
P270873,EA 362,Rib-Addi,name,PHARAOH,pharaoh,Rib-Hadda of Byblos,[an Egyptian pharaoh],True,True
P270876,EA 363,ʿAbdi-ri-ša,name,PHARAOH,pharaoh,"ʿAbdi-Riša, mayor of Enišasi",[an Egyptian pharaoh],True,True
P270874,EA 364,ʾAy-ʾab,name,PHARAOH,pharaoh,"Ayyab, mayor of Aštartu",[an Egyptian pharaoh],True,True
P270877,EA 365,Biridiya,name,PHARAOH,pharaoh,Biridiya of Megiddo,[an Egyptian pharaoh],True,True
P270875,EA 366,Šuwardata,name,PHARAOH,pharaoh,"Šuwardata, mayor of Gimtu",[an Egyptian pharaoh],True,True
P270861,EA 367,PHARAOH,pharaoh,Intaruta,name,[an Egyptian pharaoh],"Endaruta, mayor of Akšapa",True,True
P271026,EA 369,PHARAOH,pharaoh,Milki-ʾili,name,[an Egyptian pharaoh],"Milki-Ilu, mayor of Gazru",True,True
P270885,EA 370,PHARAOH,pharaoh,Yidya,name,[an Egyptian pharaoh],"Idiya, mayor of Ashkelon",True,True
P270884,EA 371,,none,,none,[missing],[an Egyptian pharaoh],,
P270971,EA 378,Yapaʾu,name,PHARAOH,pharaoh,"Yapahu, mayor of Gazru",[an Egyptian pharaoh],True,True
P270871,EA 381,,none,,none,,,,
